"","Point.Forecast"
"2011.0027",5221.5783664614
"2011.0055",5539.17606651238
"2011.0082",5421.14662532869
"2011.0110",5650.53600528394
"2011.0137",5801.22328774906
"2011.0164",5729.34751335991
"2011.0192",5410.40934133589
"2011.0219",5689.62907653175
"2011.0247",5175.87387923568
"2011.0274",4503.65561445138
"2011.0301",4313.73041047743
"2011.0329",4542.66756768172
"2011.0356",4521.28893557334
"2011.0384",4238.91385345967
"2011.0411",4310.11022675485
"2011.0438",4157.47703351727
"2011.0466",3999.53850747148
"2011.0493",4200.83452708739
"2011.0521",4755.54106055897
"2011.0548",4814.20425558772
"2011.0575",4723.71213481028
"2011.0603",5156.64148129609
"2011.0630",5293.90615772448
"2011.0658",4996.61381653238
"2011.0685",4430.98049402056
"2011.0712",4002.43203714755
"2011.0740",4510.63549682226
"2011.0767",5058.551408614
"2011.0795",5094.33445205507
"2011.0822",4605.27649089078
"2011.0849",4496.69066725096
