"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2011.0027",5380.08534392649,4500.22016710399,6431.80860674598,4094.24448367564,7069.32198172551
"2011.0055",5517.11987026567,4318.15694970936,7048.63221415108,3792.77887477386,8024.47953881432
"2011.0082",5429.9110450903,4170.87953161997,7068.58992500972,3627.19112477167,8127.49150861021
"2011.0110",5431.49691436797,4143.70591695779,7119.07948633945,3590.5528613684,8215.16363808989
"2011.0137",5488.39275827103,4174.92805980355,7214.63713015961,3612.02884924578,8338.27649281436
"2011.0164",5502.86642460416,4179.75189823002,7244.36411343361,3613.37134909697,8379.18542019558
"2011.0192",5641.9476731172,4281.57457138872,7434.08035923177,3699.64990700607,8602.67511185991
"2011.0219",5876.81677877388,4457.00606456435,7748.42810807764,3849.95426408973,8969.42251791378
"2011.0247",5886.76455273169,4462.2540236437,7765.53660310798,3853.43738247837,8991.67368710459
"2011.0274",5719.35347884069,4333.36890956151,7548.15051049232,3741.22951304704,8742.08095093693
"2011.0301",5674.5058391529,4297.58533114778,7492.1047304491,3709.51113429933,8679.09651739458
"2011.0329",5702.15817639666,4316.80527415405,7531.6171588412,3725.31393294388,8726.71032308154
"2011.0356",5693.5861445993,4308.63314562961,7523.23052901111,3717.49280268949,8718.79344347399
"2011.0384",5817.85113520098,4401.00023671808,7690.34524241983,3796.42409583637,8914.25479574133
"2011.0411",6042.13759589265,4568.96074877266,7989.79690911465,3940.53313369719,9263.19100435772
"2011.0438",6035.78222253212,4562.42091225767,7984.42494339708,3934.10107858912,9258.8236248232
"2011.0466",5848.69699724532,4419.3018890945,7739.91812169069,3809.91486922659,8977.11924682299
"2011.0493",5787.84435467257,4371.66466672054,7662.28957265356,3768.09032874016,8888.86324122215
"2011.0521",5801.13321349936,4380.05776919984,7682.76373405568,3774.57436149112,8914.38437827271
"2011.0548",5777.57799325686,4360.63214581784,7654.44567312266,3757.08558481548,8883.29394572706
"2011.0575",5888.53336981088,4442.73040830112,7804.3333089228,3827.07026378374,9059.01872974686
"2011.0603",6099.81926710539,4600.4533893232,8087.32160964389,3962.16748865119,9389.32222421376
"2011.0630",6077.69735666045,4582.04992995883,8061.01373918198,3945.53351509391,9360.63615318833
"2011.0658",5874.1028572606,4426.86984992437,7793.94973505683,3811.14094625997,9052.34011973826
"2011.0685",5797.95337024479,4367.84162328547,7695.79939168272,3759.57539495792,8940.11775507632
"2011.0712",5796.23290328642,4364.92104920201,7696.3776843005,3756.32129698504,8942.54938828373
"2011.0740",5757.7761131569,4334.34318348299,7648.16564028741,3729.26996122207,8888.28497671529
"2011.0767",5853.21118304288,4404.56678320961,7777.78879469371,3788.95331884695,9040.68220998852
"2011.0795",6047.6346679247,4549.21738309926,8039.06035585441,3912.63330459992,9346.17364568299
"2011.0822",6010.26616179936,4519.42475234675,7992.36036091377,3886.24337232883,9293.71037975607
"2011.0849",5794.12649669489,4355.24985810301,7707.85611964999,3744.31929310184,8964.67618072253
